228190592,01221.csv
228374000,0122221.csv
310610000,012200.csv
261031080,003330.csv
636092323,0300002.csv
970115319,0122210.csv
970115104,0122210.csv
249567000,003330.csv
255801490,021112.csv
354029000,001.csv
305709000,0033310.csv
244868000,0302.csv
538005601,01202.csv
352929000,01202.csv
227573960,01203.csv
227583000,01203.csv
228067900,01202.csv
311513000,0302.csv
228854000,0122222.csv
228133000,0122222.csv
227109900,030001002.csv
244819000,0033332.csv
215819000,0211112.csv
314220000,0211111.csv
311069200,0211112.csv
236567000,0211110.csv
227917000,0211111.csv
205204000,0033330.csv
227410000,03000010.csv
273113600,0211111.csv
227443000,03000030.csv
228370000,03000033.csv
244176000,03000030.csv
227123700,01222231.csv
227336000,01222232.csv
224052970,01222231.csv
227573440,01222231.csv
355146000,0300023.csv
248373000,0300020.csv
636015772,0300023.csv
235073404,0300023.csv
228843000,0122202.csv
228302900,01222233.csv
970011656,01220332321.csv
235060251,0211112.csv
37100300,00333133.csv
227536950,0122200.csv
273413060,0122202.csv
228144000,03000013.csv
228929000,030000122.csv
227860000,030000121.csv
228208800,030000123.csv
228160000,03000030.csv
227415000,030000310.csv
228131600,030000312.csv
227142200,030000310.csv
227590980,030000310.csv
228218700,030000310.csv
305137000,030003.csv
304234000,003330.csv
244850116,0033312.csv
236401000,0033312.csv
244096000,0033330.csv
314021000,0211110.csv
249028000,003330.csv
373204000,0211110.csv
211135000,0033310.csv
305652000,0211110.csv
563481000,03000032.csv
304042000,0300002.csv
244666000,03000030.csv
236038000,0033332.csv
228213700,030001002.csv
228174600,0122320232302.csv
227330000,0122320232302.csv
319206000,0300020.csv
310556000,0212.csv
228064900,01220232.csv
477914700,0300002.csv
205880600,0122203.csv
577228000,01223202322.csv
228728000,0122211001.csv
227307000,03000000.csv
244790369,03000003.csv
256016000,03000002.csv
227984000,03000000.csv
229005000,00312.csv
477182700,00312.csv
227144200,0122222.csv
228156900,01222232.csv
228015700,00333311.csv
276700000,00333311.csv
234597000,00333310.csv
275346000,00333312.csv
259019000,00333311.csv
228020900,00333310.csv
248043000,0033330.csv
207137000,0211111.csv
256992000,0033312.csv
228228800,03000102.csv
351132000,0211110.csv
211211220,0122211002.csv
228037600,030001001.csv
235050291,0033330.csv
636016436,0033312.csv
227318010,030000312.csv
227635680,012223.csv
636017116,03000033.csv
228264000,01222233.csv
228069900,01220232.csv
227143600,00333311.csv
227306100,01220332322.csv
227116100,003331310.csv
271040319,0300023.csv
235009200,01222012.csv
235005150,01222012.csv
305772000,0211110.csv
250000144,0300002.csv
257739000,0122033233.csv
304091000,00333312.csv
245181000,00333312.csv
245926000,00333110.csv
245334000,00333111.csv
246254000,00333113.csv
351020000,00333112.csv
212109000,00333112.csv
256462000,00333113.csv
311018500,003330.csv
305370000,0033332.csv
304724000,003323.csv
235085368,003321.csv
355051000,003323.csv
228931000,01222203.csv
228288000,01222200.csv
225371000,01222200.csv
228727000,0122202.csv
664209000,0300020.csv
228167900,030001002.csv
235098061,0300002.csv
244027000,01202.csv
246090000,0033312.csv
227364000,00333133.csv
227485000,003331310.csv
228333000,03000001.csv
226158000,00333130.csv
227003050,01220332322.csv
228208700,030001001.csv
227409000,0122221.csv
227146400,00333313.csv
227318020,030001001.csv
538004476,02112.csv
227002330,01220332322.csv
244918000,0033312.csv
314392000,0211111.csv
228267700,0122221.csv
244847000,00333112.csv
888888888,0122211001.csv
228240000,030000312.csv
564446000,0211110.csv
227981000,01222202.csv
228236600,030000121.csv
249446000,02103.csv
235054581,003303.csv
564056000,003302.csv
441722000,003301.csv
228335900,003301.csv
240619000,003301.csv
477478800,003301.csv
259917000,00312.csv
310529000,0212.csv
352517000,003133.csv
229899000,003133.csv
477030700,003132.csv
636092390,003132.csv
538006388,003133.csv
219578000,003133.csv
565064000,003130.csv
548747000,003133.csv
477220200,003132.csv
209273000,0033323.csv
235072088,0033321.csv
236204000,0033320.csv
565494000,0033321.csv
636092297,0033322.csv
311153000,0033321.csv
308007000,0033321.csv
255801540,0033321.csv
353100000,00311.csv
205395000,02102.csv
477217300,003301.csv
304662000,0300020.csv
228025700,0302.csv
210974000,0033332.csv
419738000,021010.csv
